x,y,Temperature
8.000000000000000167e-02,5.200000000000000178e-01,5.000728451923626494e+01
1.199999999999999956e-01,5.200000000000000178e-01,5.137124312597249798e+01
1.600000000000000033e-01,5.200000000000000178e-01,5.308205921464366384e+01
2.000000000000000111e-01,5.200000000000000178e-01,5.479820214258189992e+01
2.399999999999999911e-01,5.200000000000000178e-01,5.605462263512035292e+01
2.800000000000000266e-01,5.200000000000000178e-01,5.683850621313690255e+01
3.200000000000000067e-01,5.200000000000000178e-01,5.727013768894973822e+01
3.599999999999999867e-01,5.200000000000000178e-01,5.745365281557515402e+01
4.000000000000000222e-01,5.200000000000000178e-01,5.743970420446598268e+01
4.400000000000000022e-01,5.200000000000000178e-01,5.721913151565227906e+01
4.799999999999999822e-01,5.200000000000000178e-01,5.671501083841479840e+01
5.200000000000000178e-01,5.200000000000000178e-01,5.576481996132658026e+01
5.600000000000000533e-01,5.200000000000000178e-01,5.410235719101092400e+01
5.999999999999999778e-01,5.200000000000000178e-01,5.138875931323083535e+01
6.400000000000000133e-01,5.200000000000000178e-01,4.743362094929343442e+01
6.800000000000000488e-01,5.200000000000000178e-01,4.275328487558827817e+01
7.199999999999999734e-01,5.200000000000000178e-01,3.770466917913294225e+01
7.600000000000000089e-01,5.200000000000000178e-01,3.234121175651754498e+01
8.000000000000000444e-01,5.200000000000000178e-01,2.651822267036738623e+01
0.000000000000000000e+00,5.600000000000000533e-01,3.957779267335428841e+01
4.000000000000000083e-02,5.600000000000000533e-01,3.969563721950905233e+01
8.000000000000000167e-02,5.600000000000000533e-01,4.009990027425415349e+01
1.199999999999999956e-01,5.600000000000000533e-01,4.074159747546518417e+01
1.600000000000000033e-01,5.600000000000000533e-01,4.152733136169466377e+01
2.000000000000000111e-01,5.600000000000000533e-01,4.230811829627637621e+01
2.399999999999999911e-01,5.600000000000000533e-01,4.292139869813600228e+01
2.800000000000000266e-01,5.600000000000000533e-01,4.333081854169091685e+01
3.200000000000000067e-01,5.600000000000000533e-01,4.356730598475580507e+01
3.599999999999999867e-01,5.600000000000000533e-01,4.367001946722007943e+01
4.000000000000000222e-01,5.600000000000000533e-01,4.365972326550508598e+01
4.400000000000000022e-01,5.600000000000000533e-01,4.352912012621125371e+01
4.799999999999999822e-01,5.600000000000000533e-01,4.323710745726186389e+01
5.200000000000000178e-01,5.600000000000000533e-01,4.270332223342159494e+01
5.600000000000000533e-01,5.600000000000000533e-01,4.180983641445845933e+01
5.999999999999999778e-01,5.600000000000000533e-01,4.043146009557672471e+01
6.400000000000000133e-01,5.600000000000000533e-01,3.852427401599934598e+01
6.800000000000000488e-01,5.600000000000000533e-01,3.622839607020961950e+01
7.199999999999999734e-01,5.600000000000000533e-01,3.363216027486406290e+01
7.600000000000000089e-01,5.600000000000000533e-01,3.059167173613573709e+01
8.000000000000000444e-01,5.600000000000000533e-01,2.638920614486579197e+01
0.000000000000000000e+00,5.999999999999999778e-01,3.000000000000000000e+01
4.000000000000000083e-02,5.999999999999999778e-01,3.000000000000000000e+01
8.000000000000000167e-02,5.999999999999999778e-01,3.000000000000000000e+01
